=== cell 100 lat=0.025641 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3345,0.453429,0.20406,0.294234,0.316403,0,0.158554,0.398688
3347,0.453429,0.20406,0.294234,0.316403,0,0.158554,0.398688
3349,0.453429,0.20406,0.294234,0.316403,0,0.158554,0.398688
3351,0.150458,0.202748,0.293879,0.006124,0,0.158554,0.398688
3353,0.150458,0.202748,0.293879,0.006124,0,0.158554,0.398688
3355,0.150458,0.202748,0.293879,0.006124,0,0.158554,0.398688
3357,0.150458,0.202748,0.293879,0.006124,0,0.158554,0.398688
3359,0,0.195989,0.293074,-0.274107,0,0.158554,0.398688
3361,0,0.195989,0.293074,-0.274107,0,0.158554,0.398688
3363,0,0.195989,0.293074,-0.274107,0,0.158554,0.398688
3365,0,0.195989,0.293074,-0.274107,0,0.158554,0.398688
3367,0,0.195989,0.293074,-0.274107,0,0.158554,0.398688
3369,0,0.189456,0.292271,-0.217652,0,0.158554,0.398688
